Scenario 1,,,,,,
Grid Spacing,Simulation Rate,Visulation Rate,Thread Config,Communication Config,Memory,Time
15,10,1,NONE,PUSH,461080,1016
15,10,1,SIMULATIONONLY,PUSH,462784,9.190045
15,10,1,PRESENTATIONONLY,PUSH,463712,13.452915
15,10,1,SIMULATIONANDPRESENTATION,PUSH,464040,13.452915
15,10,1,NONE,PULL,463552,13.3811655
15,10,1,SIMULATIONONLY,PULL,464768,8.290055
15,10,1,PRESENTATIONONLY,PULL,465192,7.1599045
15,10,1,SIMULATIONANDPRESENTATION,PULL,465552,7.4441686
15,10,1,NONE,BUFFER,465352,11.848341
15,10,1,SIMULATIONONLY,BUFFER,467240,14.994949
15,10,1,PRESENTATIONONLY,BUFFER,9482696,0.20833333
15,10,1,SIMULATIONANDPRESENTATION,BUFFER,6001856,33.295082
Scenario 2,,,,,,
Grid Spacing,Simulation Rate,Visulation Rate,Thread Config,Communication Config,Memory,Time
10,10,1,NONE,PUSH,516136,1008
10,10,1,SIMULATIONONLY,PUSH,518128,10.588542
10,10,1,PRESENTATIONONLY,PUSH,518768,14.710784
10,10,1,SIMULATIONANDPRESENTATION,PUSH,519288,14.851485
10,10,1,NONE,PULL,518640,15.544042
10,10,1,SIMULATIONONLY,PULL,520504,16.053476
10,10,1,PRESENTATIONONLY,PULL,520280,12.991342
10,10,1,SIMULATIONANDPRESENTATION,PULL,520536,13.337778
10,10,1,NONE,BUFFER,520736,12.505
10,10,1,SIMULATIONONLY,BUFFER,522592,24
10,10,1,PRESENTATIONONLY,BUFFER,2795712,0.20840278
10,10,1,SIMULATIONANDPRESENTATION,BUFFER,14383064,0.17368056
Scenario 3,,,,,,
Grid Spacing,Simulation Rate,Visulation Rate,Thread Config,Communication Config,Memory,Time
20,10,1,NONE,PUSH,441912,1026.5
20,10,1,SIMULATIONONLY,PUSH,443912,8.951542
20,10,1,PRESENTATIONONLY,PUSH,444328,12.879828
20,10,1,SIMULATIONANDPRESENTATION,PUSH,445064,12.995671
20,10,1,NONE,PULL,444416,12.926407
20,10,1,SIMULATIONONLY,PULL,445632,6.409382
20,10,1,PRESENTATIONONLY,PULL,445984,6.5381265
20,10,1,SIMULATIONANDPRESENTATION,PULL,446312,6.4215055
20,10,1,NONE,BUFFER,446184,10.873913
